start_x,start_y,end_x,end_y,cluster_id
11646.260913183927,3987.529572666429,11646.327849739992,3987.9612261509474,0
11646.327849739992,3987.9612261509474,11646.354334432373,3988.376052421092,0
11646.354334432373,3988.376052421092,11646.20808697629,3988.759459292396,0
11646.20808697629,3988.759459292396,11646.39020291547,3989.151114345905,0
11646.39020291547,3989.151114345905,11646.343025320417,3989.553071633602,0
11646.343025320417,3989.553071633602,11646.248760092414,3989.949418516288,0
11646.248760092414,3989.949418516288,11645.98298051407,3990.258882966878,0
11645.98298051407,3990.258882966878,11645.760335248298,3990.599011144324,0
11645.760335248298,3990.599011144324,11645.52703295533,3990.9310856721604,0
11645.52703295533,3990.9310856721604,11645.247068091803,3991.223296853493,0
11645.247068091803,3991.223296853493,11644.958220882141,3991.500146210665,0
11644.958220882141,3991.500146210665,11644.660297869706,3991.767211571213,0
11644.660297869706,3991.767211571213,11644.334686107255,3992.0027736992847,0
11644.334686107255,3992.0027736992847,11644.270692048143,3992.3978828024624,0
11644.270692048143,3992.3978828024624,11643.98372255827,3992.6780270340355,0
11643.98372255827,3992.6780270340355,11643.8131458673,3993.0451150436893,0
11643.8131458673,3993.0451150436893,11643.57753244849,3993.372515637989,0
11643.57753244849,3993.372515637989,11643.529304640408,3993.7761682044015,0
11643.529304640408,3993.7761682044015,11643.404006597752,3994.157222502476,0
11643.404006597752,3994.157222502476,11643.261954819238,3994.532342990402,0
11643.261954819238,3994.532342990402,11643.14962740625,3994.9212741969122,0
11643.14962740625,3994.9212741969122,11642.977530092327,3995.282663839603,0
11642.977530092327,3995.282663839603,11642.635303553408,3995.491512163305,0
11642.635303553408,3995.491512163305,11642.25348533359,3995.6356308007103,0
11642.25348533359,3995.6356308007103,11641.88223002375,3995.785782957833,0
11641.88223002375,3995.785782957833,11641.539088308356,3995.991567810585,0
11641.539088308356,3995.991567810585,11641.20875878073,3996.2229775261276,0
11641.20875878073,3996.2229775261276,11640.904423242751,3996.4843574739984,0
11640.904423242751,3996.4843574739984,11640.819402563584,3996.8852145216483,0
11640.819402563584,3996.8852145216483,11640.50718277933,3997.158426092524,0
11640.50718277933,3997.158426092524,11640.617151040937,3997.5519601091296,0
11640.617151040937,3997.5519601091296,11640.846947661597,3997.9217297568325,0
11640.846947661597,3997.9217297568325,11640.81361860144,3998.3235309201013,0
11640.81361860144,3998.3235309201013,11640.876103964543,3998.7211252177126,0
11640.876103964543,3998.7211252177126,11640.67806784913,3999.069339812329,0
11640.67806784913,3999.069339812329,11640.393921294048,3999.3591345478444,0
11640.393921294048,3999.3591345478444,11640.169334501981,3999.7072119919476,0
11640.169334501981,3999.7072119919476,11640.04032681682,4000.1182242291,0
11640.04032681682,4000.1182242291,11639.98271635166,4000.5522178781875,0
11648.6473919771,3995.996706853829,11646.324172936584,3994.961298487771,1505
11646.324172936584,3994.961298487771,11645.740809503117,3994.798677494586,1505
11648.791729836139,3996.305104601946,11648.610710977413,3996.6748151312427,3
11648.610710977413,3996.6748151312427,11648.437807234386,3997.0381505963032,3
11648.437807234386,3997.0381505963032,11648.185943783785,3997.3566761789343,3
11648.185943783785,3997.3566761789343,11648.060670544077,3997.742693396916,3
11648.060670544077,3997.742693396916,11647.948012817318,3998.146768315511,3
11647.948012817318,3998.146768315511,11647.578634618241,3998.3105767581214,3
11647.578634618241,3998.3105767581214,11647.361774406307,3998.6492993147726,3
11647.361774406307,3998.6492993147726,11647.035285813423,3998.8827231267155,3
11647.035285813423,3998.8827231267155,11646.660472165326,3999.026565164007,3
