start_x,start_y,end_x,end_y,traj_id,cluster_id
11651.172,3992.123,11651.627,3991.034000000001,1,-1
11651.627,3991.034000000001,11647.186000000002,3991.248,1,-1
11647.186000000002,3991.248,11647.178999999998,3990.718,1,-1
11647.178999999998,3990.718,11650.661,3991.45,1,-1
11650.661,3991.45,11652.231,3991.588,1,-1
11652.231,3991.588,11659.511999999999,3990.7980000000002,1,-1
11659.511999999999,3990.7980000000002,11665.522,3986.2200000000003,1,-1
11665.522,3986.2200000000003,11669.169,3985.161,1,-1
11669.169,3985.161,11665.945000000002,3988.563,1,-1
11665.945000000002,3988.563,11661.74,3990.57,1,-1
11661.74,3990.57,11654.256,3991.501,1,-1
11654.256,3991.501,11643.653,3990.566,1,-1
11643.653,3990.566,11645.075,3987.495,1,-1
11645.075,3987.495,11645.551,3988.319,1,-1
11645.551,3988.319,11658.425,3991.1079999999997,1,-1
11658.425,3991.1079999999997,11663.713,3990.9529999999995,1,-1
11663.713,3990.9529999999995,11669.161,3985.171,1,-1
11669.161,3985.171,11667.003,3987.7090000000003,1,-1
11667.003,3987.7090000000003,11663.086,3990.44,1,-1
11663.086,3990.44,11653.787,3991.5,1,-1
11653.787,3991.5,11650.94,3990.679,1,-1
11650.94,3990.679,11647.511000000002,3991.397,1,-1
11647.511000000002,3991.397,11651.175000000001,3991.55,1,-1
11651.175000000001,3991.55,11669.157,3985.182,1,-1
11669.157,3985.182,11669.568,3985.251,1,-1
11669.568,3985.251,11664.668,3989.091,1,-1
11664.668,3989.091,11659.985,3990.8810000000003,1,-1
11659.985,3990.8810000000003,11645.678,3991.7490000000003,1,-1
11645.678,3991.7490000000003,11643.597,3992.5730000000003,1,-1
11643.597,3992.5730000000003,11646.515,3991.5,1,-1
11646.515,3991.5,11649.344000000001,3991.441,1,-1
11649.344000000001,3991.441,11654.716,3992.268,1,-1
11654.716,3992.268,11652.989,3991.5370000000003,1,-1
11652.989,3991.5370000000003,11647.556000000002,3992.172,1,-1
11647.556000000002,3992.172,11645.419,3995.203,1,-1
11645.419,3995.203,11646.793999999998,3994.389,1,-1
11646.793999999998,3994.389,11644.923,3997.9700000000003,1,-1
11644.923,3997.9700000000003,11646.175,3999.5190000000002,1,-1
